"id","month","state_name","state_code","energy_requirement","energy_availability"
168,"2020-05-01","Uttar Pradesh","09",10350.51,10241.83
169,"2020-05-01","Uttarakhand","05",974.26,974.26
170,"2020-05-01","Rajasthan","08",6708.51,6704.17
171,"2020-05-01","Gujarat","24",9179.08,9179.08
172,"2020-05-01","Madhya Pradesh","23",6226.34,6226.34
173,"2020-05-01","Maharashtra","27",12984.26,12984.26
174,"2020-05-01","Goa","30",376.03,376.03
175,"2020-05-01","Andhra Pradesh","28",5606.33,5606.33
176,"2020-05-01","Telangana","36",4785.22,4785.22
177,"2020-05-01","Karnataka","29",6320.12,6320.12
178,"2020-05-01","Kerala","32",2188.32,2187.6
179,"2020-05-01","Chhattisgarh","22",2308.86,2308.86
180,"2020-06-01","Andaman- Nicobar","35",28.84,26.92
181,"2020-06-01","Jharkhand","20",770.88,765.75
182,"2020-06-01","Odisha","21",2479.6,2479.6
183,"2020-06-01","West Bengal","19",4637.51,4624.04
184,"2020-06-01","Sikkim","11",41.02,41.02
185,"2020-06-01","Arunachal Pradesh","12",55.63,55.39
186,"2020-06-01","Dadra & Nagar Haveli and Daman & Diu","38",500.6,500.6
187,"2020-06-01","Manipur","14",72.52,72.14
188,"2020-06-01","Meghalaya","17",157.93,157.93
189,"2020-06-01","Mizoram","15",48.9,48.53
190,"2020-06-01","Nagaland","13",68.86,68.51
191,"2020-06-01","Tripura","16",133.56,133.54
192,"2020-06-01","DVC","None",1753.47,1753.47
193,"2020-06-01","Assam","18",910.76,888.46
194,"2020-06-01","Bihar","10",2999.4,2991.66
195,"2020-06-01","Madhya Pradesh","23",5282.87,5282.87
196,"2020-06-01","Puducherry","34",234.63,234.63
197,"2020-06-01","Punjab","03",6676.08,6676.08
198,"2020-06-01","UTs of J&K and Ladakh","None",1564.23,1262.97
199,"2020-06-01","Lakshadweep","31",4.57,4.57
200,"2020-06-01","Haryana","06",5158.43,5158.43
201,"2020-06-01","Delhi","07",3110.12,3109.18
202,"2020-06-01","Rajasthan","08",7186.78,7172.84
203,"2020-06-01","Uttar Pradesh","09",11864.84,11762.39
204,"2020-06-01","Uttarakhand","05",1252.18,1252.18
205,"2020-06-01","Chhattisgarh","22",2324.88,2324.88
206,"2020-06-01","Himachal Pradesh","02",808.39,806.29
207,"2020-06-01","Chandigarh","04",160.51,160.51
208,"2020-06-01","Maharashtra","27",10823.55,10823.55
209,"2020-06-01","Goa","30",310.31,310.31
210,"2020-06-01","Andhra Pradesh","28",5074.65,5074.65
211,"2020-06-01","Telangana","36",4579.41,4579.41
212,"2020-06-01","Karnataka","29",5169.29,5169.29
213,"2020-06-01","Kerala","32",1922.39,1922.39
214,"2020-06-01","Tamil Nadu","33",8827.96,8827.96
215,"2020-06-01","Gujarat","24",8594.2,8594.2
216,"2020-07-01","Jharkhand","20",829.8,826.91
217,"2020-07-01","Odisha","21",2718.11,2718.11
218,"2020-07-01","West Bengal","19",5017.19,5014.02
219,"2020-07-01","Sikkim","11",39.91,39.91
220,"2020-07-01","Andaman- Nicobar","35",28.84,26.92
221,"2020-07-01","Arunachal Pradesh","12",52.83,52.49
222,"2020-07-01","Nagaland","13",76.59,76.31
223,"2020-07-01","Manipur","14",77.04,76.63
224,"2020-07-01","Meghalaya","17",162.65,162.65
225,"2020-07-01","Mizoram","15",62.14,61.86
226,"2020-07-01","Tripura","16",142.51,142.51
227,"2020-07-01","DVC","None",1891.99,1891.99
228,"2020-07-01","Dadra & Nagar Haveli and Daman & Diu","38",592.03,592.03
229,"2020-07-01","Assam","18",996.22,951.17
230,"2020-07-01","Bihar","10",3294.88,3275.21
231,"2020-07-01","Lakshadweep","31",4.41,4.41
232,"2020-07-01","Puducherry","34",230.99,230.95
233,"2020-07-01","Chandigarh","04",185.35,185.35
234,"2020-07-01","Delhi","07",3313.81,3313.23
235,"2020-07-01","Haryana","06",5898.12,5898.12
236,"2020-07-01","Himachal Pradesh","02",856.82,855.11
237,"2020-07-01","Punjab","03",7389.77,7389.77
238,"2020-07-01","Rajasthan","08",7782.72,7776.78
239,"2020-07-01","Uttar Pradesh","09",13115.46,13006.54
240,"2020-07-01","Uttarakhand","05",1349.56,1349.56
241,"2020-07-01","Chhattisgarh","22",2821.68,2821.67
242,"2020-07-01","UTs of J&K and Ladakh","None",1417.82,1417.82
243,"2020-07-01","Madhya Pradesh","23",6510.22,6510.15
244,"2020-07-01","Maharashtra","27",11145.73,11145.73
245,"2020-07-01","Goa","30",314.31,314.31
246,"2020-07-01","Andhra Pradesh","28",4751.27,4750.42
247,"2020-07-01","Telangana","36",5575.84,5574.85
248,"2020-07-01","Karnataka","29",4835.15,4834.12
249,"2020-07-01","Kerala","32",1940.62,1940.27
250,"2020-07-01","Tamil Nadu","33",8201.65,8200.28
251,"2020-07-01","Gujarat","24",8750.08,8750.08
252,"2020-08-01","Odisha","21",2626.77,2626.77
253,"2020-08-01","West Bengal","19",4981.4,4978.46
254,"2020-08-01","Sikkim","11",35.19,35.19
255,"2020-08-01","Andaman- Nicobar","35",28.84,26.92
256,"2020-08-01","Arunachal Pradesh","12",60.49,60.27
257,"2020-08-01","Assam","18",1101.43,1066.75
258,"2020-08-01","Nagaland","13",80.23,80.02
259,"2020-08-01","Meghalaya","17",159.92,159.92
260,"2020-08-01","Mizoram","15",64.68,64.44
261,"2020-08-01","Tripura","16",148.75,148.65
262,"2020-08-01","Jharkhand","20",851.75,842.66
263,"2020-08-01","Dadra & Nagar Haveli and Daman & Diu","38",640.04,640.04
264,"2020-08-01","Manipur","14",77.72,77.41
265,"2020-08-01","DVC","None",1893.93,1893.93
266,"2020-08-01","Himachal Pradesh","02",874.66,860.06
267,"2020-08-01","Lakshadweep","31",4.42,4.42
268,"2020-08-01","Chandigarh","04",172.3,172.3
269,"2020-08-01","Delhi","07",3166.45,3165.91
270,"2020-08-01","Haryana","06",5765.28,5745.43
271,"2020-08-01","Bihar","10",3440.41,3383.71
272,"2020-08-01","UTs of J&K and Ladakh","None",1315.58,1315.58
273,"2020-08-01","Punjab","03",7527.42,7527.42
274,"2020-08-01","Rajasthan","08",6840.81,6837.25
275,"2020-08-01","Uttarakhand","05",1324.19,1324.19
276,"2020-08-01","Chhattisgarh","22",2637.16,2637.13
277,"2020-08-01","Uttar Pradesh","09",12540.26,12432.61
278,"2020-08-01","Madhya Pradesh","23",5895.59,5895.59
279,"2020-08-01","Maharashtra","27",10801.66,10801.66
280,"2020-08-01","Goa","30",301.44,301.43
281,"2020-08-01","Andhra Pradesh","28",5053.87,5052.7
282,"2020-08-01","Telangana","36",5682.64,5681.27
283,"2020-08-01","Karnataka","29",4831.16,4829.75
284,"2020-08-01","Kerala","32",1937.06,1936.58
285,"2020-08-01","Tamil Nadu","33",8568.83,8566.95
286,"2020-08-01","Puducherry","34",237.22,237.17
287,"2020-08-01","Gujarat","24",7837.97,7837.97
288,"2020-09-01","Arunachal Pradesh","12",62.74,62.51
289,"2020-09-01","Odisha","21",2746.47,2746.47
290,"2020-09-01","West Bengal","19",5015.38,5008.4
291,"2020-09-01","Sikkim","11",40.77,40.77
292,"2020-09-01","Andaman- Nicobar","35",28.84,26.92
293,"2020-09-01","Assam","18",1033.53,996.23
294,"2020-09-01","Jharkhand","20",872.08,865.86
295,"2020-09-01","Meghalaya","17",162.86,162.86
296,"2020-09-01","Mizoram","15",46.53,46.12
297,"2020-09-01","Nagaland","13",77.37,77.03
298,"2020-09-01","Tripura","16",144.01,143.93
299,"2020-09-01","Dadra & Nagar Haveli and Daman & Diu","38",740.11,740.11
300,"2020-09-01","Manipur","14",76.56,76.23
301,"2020-09-01","DVC","None",1875.65,1875.65
302,"2020-09-01","UTs of J&K and Ladakh","None",1430.51,1430.51
303,"2020-09-01","Lakshadweep","31",4.28,4.28
304,"2020-09-01","Uttarakhand","05",1347.41,1347.41
305,"2020-09-01","Uttar Pradesh","09",13410.77,13325.11
306,"2020-09-01","Rajasthan","08",7094.26,7093.2
307,"2020-09-01","Punjab","03",7264.43,7264.43
308,"2020-09-01","Haryana","06",6005.07,5999.07
309,"2020-09-01","Delhi","07",3342.84,3342.54
310,"2020-09-01","Chandigarh","04",169.55,169.55
311,"2020-09-01","Chhattisgarh","22",2744.66,2744.66
312,"2020-09-01","Gujarat","24",8928.31,8928.31
313,"2020-09-01","Himachal Pradesh","02",893.04,882.39
314,"2020-09-01","Maharashtra","27",11552.66,11552.66
315,"2020-09-01","Madhya Pradesh","23",6492.3,6492.3
316,"2020-09-01","Puducherry","34",232.27,232.25
317,"2020-09-01","Tamil Nadu","33",8354.3,8353.94
318,"2020-09-01","Kerala","32",1903.62,1903.53
319,"2020-09-01","Karnataka","29",4538.53,4538.26
320,"2020-09-01","Bihar","10",3313.05,3304.08
321,"2020-09-01","Telangana","36",5177.39,5177.13
322,"2020-09-01","Andhra Pradesh","28",4996.54,4995.93
323,"2020-09-01","Goa","30",321.64,321.64
324,"2020-10-01","Tripura","16",148.24,148.11
325,"2020-10-01","Dadra & Nagar Haveli and Daman & Diu","38",784.13,784.13
326,"2020-10-01","Mizoram","15",74.93,74.63
327,"2020-10-01","Meghalaya","17",175.49,175.49
328,"2020-10-01","Manipur","14",80.13,79.8
329,"2020-10-01","Assam","18",1020.1,996.3
330,"2020-10-01","Arunachal Pradesh","12",67.58,67.28
331,"2020-10-01","Andaman- Nicobar","35",28.84,26.92
332,"2020-10-01","Sikkim","11",42.34,42.34
333,"2020-10-01","West Bengal","19",4900.45,4898.59
334,"2020-10-01","Odisha","21",2749.53,2749.53
335,"2020-10-01","Jharkhand","20",903.21,889.73
336,"2020-10-01","Nagaland","13",76.89,76.55
337,"2020-10-01","DVC","None",1942.25,1942.25
338,"2020-10-01","Lakshadweep","31",4.36,4.36
339,"2020-10-01","Chandigarh","04",113.22,113.22
340,"2020-10-01","Delhi","07",2451.12,2450.92
341,"2020-10-01","Haryana","06",4806.16,4806.16
342,"2020-10-01","Bihar","10",3285.29,3284.63
343,"2020-10-01","UTs of J&K and Ladakh","None",1455.37,1455.37
344,"2020-10-01","Punjab","03",4704.19,4701.79
345,"2020-10-01","Rajasthan","08",7490.55,7489.45
346,"2020-10-01","Uttar Pradesh","09",10812.0,10747.75
347,"2020-10-01","Uttarakhand","05",1132.63,1132.34
348,"2020-10-01","Chhattisgarh","22",2546.91,2546.91
349,"2020-10-01","Himachal Pradesh","02",906.05,904.97
350,"2020-10-01","Madhya Pradesh","23",7400.36,7400.36
351,"2020-10-01","Maharashtra","27",12516.68,12500.68
352,"2020-10-01","Goa","30",341.15,341.15
353,"2020-10-01","Andhra Pradesh","28",4963.14,4963.14
354,"2020-10-01","Telangana","36",4660.25,4660.25
355,"2020-10-01","Karnataka","29",4727.05,4727.05
356,"2020-10-01","Kerala","32",2071.53,2071.25
357,"2020-10-01","Tamil Nadu","33",9106.58,9106.58
358,"2020-10-01","Puducherry","34",235.21,235.21
359,"2020-10-01","Gujarat","24",10609.62,10609.62
360,"2020-11-01","West Bengal","19",3523.12,3522.17
361,"2020-11-01","Sikkim","11",46.27,46.27
362,"2020-11-01","Andaman- Nicobar","35",28.84,26.92
363,"2020-11-01","Arunachal Pradesh","12",64.64,64.39
364,"2020-11-01","Assam","18",756.75,739.53
365,"2020-11-01","Tripura","16",111.06,111.06
366,"2020-11-01","Meghalaya","17",174.7,174.7
367,"2020-11-01","Mizoram","15",76.08,75.82
368,"2020-11-01","Nagaland","13",64.39,64.06
369,"2020-11-01","Dadra & Nagar Haveli and Daman & Diu","38",731.59,731.59
370,"2020-11-01","Odisha","21",2253.02,2253.02
371,"2020-11-01","Manipur","14",84.12,83.75
372,"2020-11-01","Jharkhand","20",791.19,778.39
373,"2020-11-01","Goa","30",350.17,350.17
374,"2020-11-01","Bihar","10",2216.95,2214.25
375,"2020-11-01","Gujarat","24",9281.99,9281.99
376,"2020-11-01","Chhattisgarh","22",2127.05,2127.05
377,"2020-11-01","Uttarakhand","05",1039.92,1039.63
378,"2020-11-01","Uttar Pradesh","09",7852.97,7806.36
379,"2020-11-01","Rajasthan","08",7060.26,7058.68
380,"2020-11-01","Punjab","03",3210.21,3167.46
381,"2020-11-01","UTs of J&K and Ladakh","None",1802.07,1441.67
382,"2020-11-01","Himachal Pradesh","02",875.96,871.58
383,"2020-11-01","Haryana","06",3412.23,3412.23
384,"2020-11-01","Delhi","07",1784.46,1784.36
385,"2020-11-01","DVC","None",1853.55,1853.55
386,"2020-11-01","Lakshadweep","31",4.37,4.37
387,"2020-11-01","Puducherry","34",205.57,205.57
388,"2020-11-01","Tamil Nadu","33",7891.34,7891.34
389,"2020-11-01","Kerala","32",2117.62,2117.04
390,"2020-11-01","Karnataka","29",5405.2,5405.2
391,"2020-11-01","Telangana","36",4229.97,4229.97
392,"2020-11-01","Andhra Pradesh","28",4842.14,4842.14
393,"2020-11-01","Chandigarh","04",90.82,90.82
394,"2020-11-01","Maharashtra","27",12753.05,12753.05
395,"2020-11-01","Madhya Pradesh","23",8293.74,8293.74
396,"2020-12-01","Delhi","07",2025.2,2024.74
397,"2020-12-01","Sikkim","11",56.31,56.31
398,"2020-12-01","Andaman- Nicobar","35",28.84,26.92
399,"2020-12-01","Arunachal Pradesh","12",69.94,69.31
400,"2020-12-01","Manipur","14",104.98,104.48
401,"2020-12-01","Meghalaya","17",201.62,201.18
402,"2020-12-01","Chandigarh","04",112.13,112.13
403,"2020-12-01","Nagaland","13",69.13,68.77
404,"2020-12-01","Tripura","16",105.34,105.34
405,"2020-12-01","West Bengal","19",3549.67,3548.21
406,"2020-12-01","Dadra & Nagar Haveli and Daman & Diu","38",790.56,790.56
407,"2020-12-01","Mizoram","15",76.84,76.54
408,"2020-12-01","Odisha","21",2249.42,2249.42
409,"2020-12-01","Assam","18",745.32,727.44
410,"2020-12-01","DVC","None",1947.96,1947.96
411,"2020-12-01","Haryana","06",4032.28,4023.95
412,"2020-12-01","Himachal Pradesh","02",989.48,986.73
413,"2020-12-01","UTs of J&K and Ladakh","None",1994.74,1673.03
414,"2020-12-01","Punjab","03",3850.2,3846.74
415,"2020-12-01","Rajasthan","08",7804.67,7792.76
416,"2020-12-01","Uttar Pradesh","09",8855.46,8799.38
417,"2020-12-01","Jharkhand","20",876.15,837.44
418,"2020-12-01","Uttarakhand","05",1215.72,1215.72
419,"2020-12-01","Chhattisgarh","22",2563.36,2563.04
420,"2020-12-01","Madhya Pradesh","23",8594.21,8594.21
421,"2020-12-01","Gujarat","24",9979.23,9979.23
422,"2020-12-01","Goa","30",359.9,359.9
423,"2020-12-01","Andhra Pradesh","28",4820.23,4820.23
424,"2020-12-01","Telangana","36",5512.02,5512.02
425,"2020-12-01","Karnataka","29",6093.18,6093.18
426,"2020-12-01","Kerala","32",2171.07,2170.62
427,"2020-12-01","Tamil Nadu","33",7912.84,7912.84
428,"2020-12-01","Puducherry","34",208.36,208.36
429,"2020-12-01","Lakshadweep","31",4.53,4.53
430,"2020-12-01","Bihar","10",2461.3,2456.74
431,"2020-12-01","Maharashtra","27",13694.04,13694.04
432,"2021-01-01","Assam","18",745.09,730.54
433,"2021-01-01","Sikkim","11",57.8,57.8
434,"2021-01-01","Andaman- Nicobar","35",28.84,26.92
435,"2021-01-01","Arunachal Pradesh","12",71.38,71.09
436,"2021-01-01","Manipur","14",103.56,103.26
437,"2021-01-01","Dadra & Nagar Haveli and Daman & Diu","38",814.3,814.3
438,"2021-01-01","Mizoram","15",63.72,63.41
439,"2021-01-01","Nagaland","13",66.17,65.87
440,"2021-01-01","Tripura","16",110.64,110.63
441,"2021-01-01","West Bengal","19",3839.86,3837.82
442,"2021-01-01","Meghalaya","17",208.92,208.92
443,"2021-01-01","Odisha","21",2339.11,2339.11
444,"2021-01-01","Maharashtra","27",13984.67,13984.67
445,"2021-01-01","DVC","None",2038.77,2038.77
446,"2021-01-01","Chandigarh","04",131.18,131.18
447,"2021-01-01","Delhi","07",2269.96,2269.72
448,"2021-01-01","Haryana","06",3927.45,3924.14
449,"2021-01-01","Himachal Pradesh","02",1003.4,999.16
450,"2021-01-01","UTs of J&K and Ladakh","None",2034.75,1653.95
451,"2021-01-01","Punjab","03",3852.88,3849.34
452,"2021-01-01","Jharkhand","20",884.54,841.83
453,"2021-01-01","Uttar Pradesh","09",9239.63,9178.17
454,"2021-01-01","Uttarakhand","05",1262.74,1260.2
455,"2021-01-01","Chhattisgarh","22",2822.02,2815.47
456,"2021-01-01","Gujarat","24",10057.91,10057.91
457,"2021-01-01","Rajasthan","08",7803.06,7781.83
458,"2021-01-01","Bihar","10",2741.93,2730.67
459,"2021-01-01","Goa","30",372.1,372.1
460,"2021-01-01","Andhra Pradesh","28",5320.45,5320.45
461,"2021-01-01","Telangana","36",6895.95,6895.95
462,"2021-01-01","Karnataka","29",6363.04,6363.04
463,"2021-01-01","Kerala","32",2172.18,2166.36
464,"2021-01-01","Tamil Nadu","33",7721.99,7721.99
465,"2021-01-01","Puducherry","34",216.54,216.54
466,"2021-01-01","Lakshadweep","31",4.67,4.67
467,"2021-01-01","Madhya Pradesh","23",8790.96,8790.96
468,"2021-02-01","Andaman- Nicobar","35",28.84,26.92
469,"2021-02-01","Arunachal Pradesh","12",64.47,64.21
470,"2021-02-01","Assam","18",687.71,676.74
471,"2021-02-01","Manipur","14",83.45,83.19
472,"2021-02-01","Sikkim","11",50.94,50.94
473,"2021-02-01","Mizoram","15",54.92,54.64
474,"2021-02-01","Nagaland","13",59.9,59.64
475,"2021-02-01","Tripura","16",97.71,97.71
476,"2021-02-01","Dadra & Nagar Haveli and Daman & Diu","38",758.75,758.75
477,"2021-02-01","Meghalaya","17",179.87,175.79
478,"2021-02-01","West Bengal","19",3669.44,3667.94
479,"2021-02-01","Maharashtra","27",13024.94,13024.94
480,"2021-02-01","Jharkhand","20",796.44,748.46
481,"2021-02-01","Chandigarh","04",97.63,97.63
482,"2021-02-01","Delhi","07",1805.05,1804.65
483,"2021-02-01","Haryana","06",3748.71,3743.99
484,"2021-02-01","Himachal Pradesh","02",880.99,871.11
485,"2021-02-01","UTs of J&K and Ladakh","None",1737.93,1433.94
486,"2021-02-01","Punjab","03",3604.63,3595.44
487,"2021-02-01","Uttar Pradesh","09",8258.96,8181.94
488,"2021-02-01","Uttarakhand","05",1100.03,1098.86
